"","g_model2"
"398",249.466562287311
"399",187.499336075553
"400",174.744821156284
"401",35.7594251785843
"402",91.1250102090505
"403",-58.9507483954293
"404",76.4022610214984
"405",47.2659061071969
"406",169.442902118864
"407",123.098781026733
"408",35.9698857902541
"409",4.36838939490402
"410",200.291293688007
"411",-27.6255493229475
"412",-18.4926889592669
"413",32.8951746145505
"414",-45.2431360721883
"415",29.3739942270297
"416",103.752443674633
"417",191.231450557246
"418",27.016084173347
"419",85.5975633758042
"420",163.97133087311
"421",138.684827752591
"422",70.846954119256
"423",176.405670400153
"424",184.638224947544
"425",3.40892061750092
"426",-17.4890491054528
"427",80.4562219051919
"428",159.200735493714
"429",47.3871479995544
"430",112.811645286065
"431",73.1316581015286
"432",44.8503085643487
"433",129.263001103343
"434",51.7091725974231
"435",261.631069851709
"436",10.0531366683393
"437",-35.2823223190622
"438",-17.0485900461144
"439",60.7315457279993
"440",135.248345727047
"441",114.434985499924
"442",-69.7901439732895
"443",238.540661915704
"444",32.1832003615056
"445",214.188848887378
"446",225.961541329722
"447",150.584740805916
"448",120.323640234555
"449",16.0224580268361
"450",20.8125841348477
"451",40.5992251245065
"452",-21.115031356554
"453",199.793153225379
"454",225.137547158512
"455",27.016084173347
"456",151.156389015801
"457",89.4870344932627
"458",44.0464011780498
"459",-26.3000543488505
"460",-6.95074057165724
"461",-21.115031356554
"462",-44.4037687100617
"463",48.8799961949657
"464",80.5626285910579
"465",121.491522792747
"466",-51.3244163439582
"467",-32.6633208252818
"468",128.709803891402
"469",43.8994962019968
"470",107.08167793886
"471",26.1229539256408
"472",116.092230789822
"473",94.1972282968726
"474",94.2795458002389
"475",82.5419818606059
"476",199.903364931728
"477",90.0579858179847
"478",-48.3844273953007
"479",167.098079118006
"480",44.8503085643487
"481",0.839166488878739
"482",113.270926732009
"483",175.574349802928
"484",135.416843254967
"485",185.672587007527
"486",150.598786746998
"487",12.8816876911658
"488",28.4936991301497
"489",122.044720004688
"490",164.531378573801
"491",226.482666037204
"492",55.9420931277861
"493",224.361689645953
"494",94.4210405774536
"495",30.2542893239099
"496",212.086970375205
"497",15.5296117497186
"498",25.1273281416273
"499",24.342162969284
"500",60.9044749517288
"501",152.011558387908
"502",-11.9300956035089
"503",175.832968973781
"504",104.65493204421
"505",-17.4890491054528
"506",43.6426023386408
"507",115.09762618977
"508",173.378769857701
